close,open,high,low,RSI,upper_band,lower_band,MACD,MACD_signal,MACD_hist,close_lag_1,close_lag_2,close_lag_3,close_lag_4,close_lag_5,returns_lag_1,returns_lag_2,returns_lag_3,returns_lag_4,returns_lag_5,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30,volatility,target
3910.04,4060.0,4089.97,3830.91,45.858821173501354,4983.369135335545,3372.3158646644565,-148.39876362737823,-119.00047689320108,-29.398286734177148,4035.01,3699.99,3714.95,3700.0,3189.02,0.09054619066538039,-0.00402697209922076,0.004040540540540594,0.16023104276548916,-0.1915663841772104,3741.9571428571426,278.4549478649571,4216.677,355.97216908987645,259.05999999999995,3900.0
3900.0,3910.04,4046.08,3820.0,45.66380787201889,4909.68002839285,3363.51597160715,-141.4029850350612,-123.48097852157312,-17.92200651348807,3910.04,4035.01,3699.99,3714.95,3700.0,-0.030971422623487954,0.09054619066538039,-0.00402697209922076,0.004040540540540594,0.16023104276548916,3735.5728571428576,273.50032527185283,4212.810333333333,358.8455580049514,226.07999999999993,3609.99
3609.99,3889.99,3910.0,3567.0,40.328957018261576,4810.598081134748,3340.1059188652525,-157.4452327472336,-130.27382936670523,-27.171403380528375,3900.0,3910.04,4035.01,3699.99,3714.95,-0.002567748667532843,-0.030971422623487954,0.09054619066538039,-0.00402697209922076,0.004040540540540594,3795.7114285714283,153.0517676505313,4198.4766666666665,374.2440298957934,343.0,3595.87
3595.87,3592.84,3750.0,3505.55,40.08341755181332,4771.403868138694,3291.673131861306,-169.3460794419875,-138.0882793817617,-31.257800060225804,3609.99,3900.0,3910.04,4035.01,3699.99,-0.07436153846153848,-0.002567748667532843,-0.030971422623487954,0.09054619066538039,-0.00402697209922076,3780.835714285714,168.2141355393117,4181.205333333333,389.9049588768799,244.44999999999982,3780.0
3780.0,3595.88,3817.19,3542.91,44.8029074359221,4708.618194410436,3281.5508055895634,-162.05180173056124,-142.88098385152162,-19.170817879039618,3595.87,3609.99,3900.0,3910.04,4035.01,-0.003911368175535057,-0.07436153846153848,-0.002567748667532843,-0.030971422623487954,0.09054619066538039,3790.128571428571,165.7464142828402,4163.338333333333,395.7518798795031,274.2800000000002,3660.02
3660.02,3779.54,3789.99,3622.76,42.45620417587939,4699.331412170749,3246.828587829252,-164.0612217375001,-147.11703142871733,-16.944190308782765,3780.0,3595.87,3609.99,3900.0,3910.04,0.051205966845297546,-0.003911368175535057,-0.07436153846153848,-0.002567748667532843,-0.030971422623487954,3784.4185714285713,170.00308462187448,4142.649666666667,405.50890174746655,167.22999999999956,3920.75
3920.75,3660.02,3979.87,3653.69,48.73968223787526,4654.3926056381915,3247.195394361809,-142.96693574022993,-146.28701229101986,3.320076550789935,3660.02,3780.0,3595.87,3609.99,3900.0,-0.031740740740740736,0.051205966845297546,-0.003911368175535057,-0.07436153846153848,-0.002567748667532843,3768.095714285714,145.67740466033578,4128.76,405.74304402221543,326.17999999999984,3882.35
3882.35,3928.0,3976.99,3850.05,47.90992323182332,4547.203549049162,3280.642450950838,-127.87406852595586,-142.60442353800707,14.730355012051206,3920.75,3660.02,3780.0,3595.87,3609.99,0.07123731564308389,-0.031740740740740736,0.051205966845297546,-0.003911368175535057,-0.07436153846153848,3764.1399999999994,141.4966225745328,4114.504666666667,406.66706729921805,126.9399999999996,4193.0
4193.0,3882.36,4249.94,3872.81,54.63793732716007,4430.449344887022,3347.5356551129776,-89.810721636984,-132.04568315780244,42.234961520818445,3882.35,3920.75,3660.02,3780.0,3595.87,-0.009794044506790778,0.07123731564308389,-0.031740740740740736,0.051205966845297546,-0.003911368175535057,3805.997142857142,213.43483874587122,4108.048333333333,403.72366529324944,377.12999999999965,4174.5
4174.5,4192.11,4300.0,4101.0,54.18905908069068,4411.160918119835,3355.9940818801647,-60.44131057996083,-117.72480864223412,57.283498062273296,4193.0,3882.35,3920.75,3660.02,3780.0,0.08001596970906788,-0.009794044506790778,0.07123731564308389,-0.031740740740740736,0.051205966845297546,3886.641428571428,232.80092793547675,4094.2823333333336,393.7296095623131,199.0,4174.69
4174.69,4178.98,4263.86,3952.01,54.19322135377463,4396.152800988153,3362.5901990118464,-36.727141682520596,-101.52527525029141,64.79813356777082,4174.5,4193.0,3882.35,3920.75,3660.02,-0.004412115430479369,0.08001596970906788,-0.009794044506790778,0.07123731564308389,-0.031740740740740736,3969.3300000000004,214.37497879494572,4081.6006666666667,384.3901583739003,311.84999999999945,4378.51
4378.51,4175.0,4380.0,4138.1,58.54454080809203,4442.845626120774,3340.7113738792273,-1.469976401819622,-81.51421548059707,80.04423907877745,4174.69,4174.5,4193.0,3882.35,3920.75,4.5514432866156085e-05,-0.004412115430479369,0.08001596970906788,-0.009794044506790778,0.07123731564308389,4054.8314285714287,243.63523030879435,4070.0546666666673,369.3074928578068,241.89999999999964,4378.48
4378.48,4378.49,4406.52,4240.04,58.543659292044566,4475.346745814359,3325.2112541856413,26.167517495046923,-59.97786888546827,86.14538638051519,4378.51,4174.69,4174.5,4193.0,3882.35,0.04882278684165775,4.5514432866156085e-05,-0.004412115430479369,0.08001596970906788,-0.009794044506790778,4157.4685714285715,196.3332221359542,4054.8403333333335,345.33496638804075,166.48000000000047,4380.0
