year,month,day,actual,predicted
2025,2,11,95778.2,96114.84048463513
2025,2,12,97869.99,96047.31303215801
2025,2,13,96608.14000000001,95676.3236682293
2025,2,14,97500.48,97716.80962976889
2025,2,15,97569.66,97230.48585481294
2025,2,16,96118.12,96247.16596423673
2025,2,17,95780.0,95806.12099012575
2025,2,18,95671.74,94807.07485756186
2025,2,19,96644.37000000001,95327.75653632997
2025,2,20,98305.0,97609.01795381801
2025,2,21,96181.98,96516.99659192322
2025,2,22,96551.01000000001,95985.95479182753
2025,2,23,96258.0,95109.5738609255
2025,2,24,91552.88,92796.15772401208
2025,2,25,88680.4,87616.76640347521
2025,2,26,84250.09,85662.45535306398
2025,2,27,84708.58,85134.37146623069
2025,2,28,84349.94,81032.9919979716
2025,3,1,86064.53,85063.92212870774
2025,3,2,94270.0,93246.24458294646
2025,3,3,86220.61,88438.25873909784
2025,3,4,87281.98,85828.63899320299
2025,3,5,90606.01,89663.7955215452
2025,3,6,89931.89,90774.81347532634
2025,3,7,86801.75,87790.36070530432
2025,3,8,86222.45,85951.46832762618
2025,3,9,80734.37,82689.96548530895
2025,3,10,78595.86,81268.64362068575
2025,3,11,82932.99,81425.55403158217
2025,3,12,83680.12,82752.95976805314
2025,3,13,81115.78,81659.94693752594
2025,3,14,83983.2,84352.77598732086
2025,3,15,84338.44,83916.06213839418
2025,3,16,82574.53,83363.36327030238
2025,3,17,84010.03,83926.10597474253
2025,3,18,82715.03,82069.34968726085
2025,3,19,86845.94,85702.17049904728
2025,3,20,84223.39,84913.94758250285
2025,3,21,84088.79,83719.64767464557
2025,3,22,83840.59,83758.92341799046
2025,3,23,86082.5,85520.42022346889
2025,3,24,87234.15,87213.70705742367
