close,open,high,low,RSI,upper_band,lower_band,MACD,MACD_signal,MACD_hist,close_lag_1,close_lag_2,close_lag_3
3910.04,4060.0,4089.97,3830.91,45.858821173501354,4983.369135335545,3372.3158646644565,-148.39876362737823,-119.00047689320108,-29.398286734177148,4035.01,3699.99,3714.95
3900.0,3910.04,4046.08,3820.0,45.66380787201889,4909.68002839285,3363.51597160715,-141.4029850350612,-123.48097852157312,-17.92200651348807,3910.04,4035.01,3699.99
3609.99,3889.99,3910.0,3567.0,40.328957018261576,4810.598081134748,3340.1059188652525,-157.4452327472336,-130.27382936670523,-27.171403380528375,3900.0,3910.04,4035.01
3595.87,3592.84,3750.0,3505.55,40.08341755181332,4771.403868138694,3291.673131861306,-169.3460794419875,-138.0882793817617,-31.257800060225804,3609.99,3900.0,3910.04
3780.0,3595.88,3817.19,3542.91,44.8029074359221,4708.618194410436,3281.5508055895634,-162.05180173056124,-142.88098385152162,-19.170817879039618,3595.87,3609.99,3900.0
3660.02,3779.54,3789.99,3622.76,42.45620417587939,4699.331412170749,3246.828587829252,-164.0612217375001,-147.11703142871733,-16.944190308782765,3780.0,3595.87,3609.99
3920.75,3660.02,3979.87,3653.69,48.73968223787526,4654.3926056381915,3247.195394361809,-142.96693574022993,-146.28701229101986,3.320076550789935,3660.02,3780.0,3595.87
3882.35,3928.0,3976.99,3850.05,47.90992323182332,4547.203549049162,3280.642450950838,-127.87406852595586,-142.60442353800707,14.730355012051206,3920.75,3660.02,3780.0
4193.0,3882.36,4249.94,3872.81,54.63793732716007,4430.449344887022,3347.5356551129776,-89.810721636984,-132.04568315780244,42.234961520818445,3882.35,3920.75,3660.02
4174.5,4192.11,4300.0,4101.0,54.18905908069068,4411.160918119835,3355.9940818801647,-60.44131057996083,-117.72480864223412,57.283498062273296,4193.0,3882.35,3920.75
4174.69,4178.98,4263.86,3952.01,54.19322135377463,4396.152800988153,3362.5901990118464,-36.727141682520596,-101.52527525029141,64.79813356777082,4174.5,4193.0,3882.35
4378.51,4175.0,4380.0,4138.1,58.54454080809203,4442.845626120774,3340.7113738792273,-1.469976401819622,-81.51421548059707,80.04423907877745,4174.69,4174.5,4193.0
4378.48,4378.49,4406.52,4240.04,58.543659292044566,4475.346745814359,3325.2112541856413,26.167517495046923,-59.97786888546827,86.14538638051519,4378.51,4174.69,4174.5
4380.0,4400.0,4561.63,4360.0,58.5776911091292,4513.074193530169,3309.1118064698303,47.64387291287676,-38.45352052579926,86.09739343867602,4378.48,4378.51,4174.69
4310.0,4380.0,4467.33,4180.8,56.2861134958839,4555.973573750231,3302.743426249769,58.343081597354285,-19.094200101168553,77.43728169852284,4380.0,4378.48,4378.51
4208.59,4314.9,4373.0,4142.0,53.04837455449202,4517.202949752827,3443.471050247172,57.971087471547435,-3.6811425866253558,61.65223005817279,4310.0,4380.0,4378.48
4292.43,4208.59,4355.0,4110.0,55.33584182993051,4547.059939554024,3472.8570604459755,63.707091077008045,9.796504146101324,53.91058693090672,4208.59,4310.0,4380.0
4369.0,4318.99,4417.0,4292.0,57.37818294003371,4583.564225240896,3501.7577747591035,73.58325240804425,22.55385379848991,51.029398609554335,4292.43,4208.59,4310.0
4423.0,4369.0,4479.5,4312.56,58.80870439195925,4619.917527143483,3537.705472856518,84.79012236930521,35.00110751265297,49.78901485665224,4369.0,4292.43,4208.59
4640.0,4425.0,4658.0,4425.0,64.0328901707329,4702.136371125797,3515.985628874202,109.91470570226738,49.983827150575856,59.93087855169153,4423.0,4369.0,4292.43
4786.95,4640.0,4889.98,4550.0,67.0779419161255,4807.149201091118,3498.663798908882,140.06912619729792,68.00088695992028,72.06823923737764,4640.0,4423.0,4369.0
4783.06,4786.95,4960.0,4680.59,66.91643666892281,4894.814406438501,3499.3045935614996,161.78784167121285,86.7582779021788,75.02956376903404,4786.95,4640.0,4423.0
4821.43,4783.06,4881.61,4710.0,67.74148272136915,4951.334336530887,3563.928663469112,180.02104790665908,105.41083190307486,74.61021600358421,4783.06,4786.95,4640.0
5430.0,4821.43,5439.99,4810.16,77.37769234347725,5146.136105057985,3552.5398949420137,240.8016961206804,132.48900474659598,108.31269137408441,4821.43,4783.06,4786.95
5649.98,5439.99,5846.17,5379.84,79.73426842121364,5377.408419958901,3508.2655800411003,303.22594533541724,166.63639286436023,136.589552471057,5430.0,4821.43,4783.06
5869.99,5650.0,5900.0,5580.01,81.77867987421584,5606.605033870126,3500.065966129873,366.2289218388678,206.55489865926177,159.67402317960602,5649.98,5430.0,4821.43
5709.99,5855.03,5922.3,5400.01,75.79065079871992,5767.475212375857,3518.119787624142,398.6531464858581,244.97454822458104,153.67859826127705,5869.99,5649.98,5430.0
5760.02,5710.0,5788.91,5585.19,76.37321479594762,5904.424402154767,3568.9375978452335,423.50468264534175,280.6805751087332,142.82410753660855,5709.99,5869.99,5649.98
5595.0,5760.0,5774.98,5508.63,70.35910188945164,6003.523707717908,3610.0382922820936,424.985006614791,309.54146140994476,115.44354520484626,5760.02,5709.99,5869.99
5512.06,5595.0,5596.0,5037.95,67.48279196844715,6071.085524641904,3676.232475358097,414.6853743217416,330.57024399230414,84.11513032943748,5595.0,5760.02,5709.99
5683.9,5513.0,5710.0,5490.26,70.20088131485625,6151.051152257725,3747.1878477422742,415.5981367779368,347.57582254943065,68.02231422850616,5512.06,5595.0,5760.02
6010.01,5683.31,6110.0,5600.0,74.54881594791476,6286.879384680191,3774.5096153198087,437.591575890021,365.57897321754876,72.01260267247221,5683.9,5512.06,5595.0
